epoch,acc,loss,lr,val_acc,val_loss
0,0.3282399999809265,2.1241161037445067,0.001,0.3044,2.2937554321289064
1,0.43216,1.9372405265808106,0.001,0.4522,1.6788048393249513
2,0.4812199999904633,1.845557240600586,0.001,0.5612,1.3960506448745726
3,0.5143600000190734,1.7883794273376465,0.001,0.4504,1.864115870666504
4,0.5374600000095368,1.7393811352920532,0.001,0.6455,1.1661414876937866
5,0.56192,1.6953908201217651,0.001,0.4847,1.6738767412185669
6,0.5839399999809265,1.6554340589523315,0.001,0.655,1.1451071290969848
7,0.5997399999809265,1.6208423768615723,0.001,0.6447,1.174430867576599
8,0.60784,1.599158175163269,0.001,0.6371,1.1703930410385133
9,0.6202399999809265,1.576438596725464,0.001,0.6712,1.0924183110237122
10,0.6303400000190735,1.554970535964966,0.001,0.6441,1.1438715331077576
11,0.6378400000190735,1.5414757085418702,0.001,0.6968,1.0155043061256408
12,0.646440000038147,1.5243303690719605,0.001,0.7266,0.9382349725723267
13,0.649399999961853,1.5140594455337524,0.001,0.7161,0.9507647321701049
14,0.6577999999809265,1.5011061541748048,0.001,0.7514,0.8848805735588073
15,0.6630200000190735,1.4891168770980836,0.001,0.7438,0.8794499804496765
16,0.6673799999809266,1.4731647905349732,0.001,0.6856,1.039150468635559
17,0.6744000000190735,1.4664158892059327,0.001,0.7362000017166138,0.8939495105743408
18,0.6765,1.4619155648422242,0.001,0.7105,0.994358694267273
19,0.679200000038147,1.45262466506958,0.001,0.7152,0.9335698632240296
20,0.68158,1.4450632833480834,0.001,0.7154,0.9525553064346314
21,0.68604,1.4331954781723022,0.001,0.7357,0.916452781867981
22,0.692460000038147,1.4262928606796266,0.001,0.7463,0.8802867451667785
23,0.696659999961853,1.4205447444534303,0.001,0.7677,0.7989887584686279
24,0.6991000000190735,1.4087764308929442,0.001,0.632,1.2876178213119507
25,0.70126,1.4047553591156006,0.001,0.7635,0.8159821451663971
26,0.703559999961853,1.3972261805343629,0.001,0.6526,1.1294236213684081
27,0.708560000038147,1.395416236305237,0.001,0.7306,0.9452822904586792
28,0.706459999961853,1.390814340248108,0.001,0.7471,0.8594558126449585
29,0.7095000000190735,1.38439924243927,0.001,0.7595,0.8133311275482178
30,0.7109800000190735,1.3801127223205567,0.001,0.6794,1.0296811264038086
31,0.710099999961853,1.3780244394683838,0.001,0.7643,0.804220715713501
32,0.7161400000381469,1.3707234143447875,0.001,0.6994,1.0554882627487183
33,0.7167799999809266,1.370051559753418,0.001,0.7842,0.7527192569732666
34,0.71866,1.3645234746932984,0.001,0.7862,0.744613261795044
35,0.7207399999809265,1.3581416247177125,0.001,0.7827,0.7417763095855713
36,0.7207000000381469,1.357720198059082,0.001,0.7602,0.82870038022995
37,0.723559999961853,1.35144800907135,0.001,0.7413,0.8707885045051574
38,0.721759999961853,1.3507719680023194,0.001,0.7703,0.7929370843887329
39,0.7239000000190735,1.3463557867431641,0.001,0.7534,0.8308453263282776
40,0.7262799999809265,1.345493694381714,0.001,0.7889,0.731098724269867
41,0.728100000038147,1.3413872123718262,0.001,0.7329,0.894968115234375
42,0.7325400000190735,1.335876395301819,0.001,0.7619,0.8313969798088073
43,0.7325799999809265,1.3354079748916625,0.001,0.7018,1.0316488743782044
44,0.734299999961853,1.3331336472702027,0.001,0.7841,0.7674707022666931
45,0.732220000038147,1.333533934402466,0.001,0.7744,0.7989286747932434
46,0.7355399999809266,1.3275463687133788,0.001,0.7928,0.7148124881744384
47,0.7323000000190735,1.329206263961792,0.001,0.576,1.3611830810546874
48,0.732500000038147,1.3267788513946532,0.001,0.7782,0.7506152778625488
49,0.7357600000190735,1.321921793937683,0.001,0.8345,0.6111017022132873
50,0.73816,1.316995588722229,0.001,0.7716,0.7996846778869628
51,0.740399999961853,1.313540877609253,0.001,0.7995,0.7307044178009033
52,0.7398000000190735,1.3141177137374878,0.001,0.791,0.7240133151054382
53,0.73684,1.3174048211288452,0.001,0.8155,0.6425924861907959
54,0.73838,1.310914642829895,0.001,0.7471,0.9169685287475586
55,0.7417000000190734,1.311437438545227,0.001,0.8031,0.6903596139907837
56,0.739380000038147,1.3140790911483764,0.001,0.8235,0.6742828701019287
57,0.7401,1.3079983222579956,0.001,0.7728,0.7703543473243714
58,0.740739999961853,1.3041177822113037,0.001,0.7848,0.7795031984329224
59,0.7448600000190735,1.303896800994873,0.001,0.792,0.7257186665534973
60,0.74308,1.299152455215454,0.001,0.7528,0.8401273857116699
61,0.748480000038147,1.2917647959518432,0.001,0.8104,0.6706729474067687
62,0.7448400000190735,1.296136008796692,0.001,0.7568,0.8662837021827697
63,0.7509399999809265,1.2897573774719238,0.001,0.7493,0.8613397688865662
64,0.746400000038147,1.293968726234436,0.001,0.785,0.7545143268585205
65,0.7420999999809265,1.2961790187072755,0.001,0.798,0.7266645812988282
66,0.7503400000190735,1.2872493228149413,0.001,0.7542,0.8700635564804077
67,0.7465600000381469,1.2893414289093017,0.001,0.7996,0.6890829966545104
68,0.751240000038147,1.2867720568466186,0.001,0.803,0.6924924671173096
69,0.7491000000381469,1.285276636505127,0.001,0.814,0.684341995048523
70,0.752280000038147,1.2887339834976197,0.001,0.7487,0.8412831881523132
71,0.747539999961853,1.2934504517364502,0.001,0.7121,1.0401311473846435
72,0.75132,1.2822785898971558,0.001,0.8014,0.7274096103668213
73,0.751739999961853,1.2813426890945434,0.001,0.8422,0.6137015277862549
74,0.750820000038147,1.2835457711029052,0.001,0.7171,0.9812419212341309
75,0.7486599999618531,1.2840189039611816,0.001,0.821,0.6388258999824524
76,0.7517199999809265,1.2870833320999147,0.001,0.7938,0.7079342984199524
77,0.75202,1.2774130772781371,0.001,0.8151,0.6544667612075805
78,0.751579999961853,1.285388828163147,0.001,0.8416,0.5606748245239258
79,0.750980000038147,1.2791787241744994,0.001,0.8334,0.6150720692634583
80,0.754360000038147,1.2734637953948975,0.001,0.8092,0.6730941369056702
81,0.770339999961853,1.2433284829330444,1e-04,0.8742,0.5024602222442627
82,0.772339999961853,1.234797530593872,1e-04,0.8834,0.4708723937988281
83,0.7817399999618531,1.217869834136963,1e-04,0.8834,0.4764259056568146
84,0.78048,1.2159415297698974,1e-04,0.8881,0.4629166067123413
85,0.7848000000190735,1.208161393508911,1e-04,0.8896,0.4535234264373779
86,0.782020000038147,1.2106113983917237,1e-04,0.8877,0.45503222861289977
87,0.784360000038147,1.209900396194458,1e-04,0.8996,0.42776355752944945
88,0.7844200000190735,1.206602883720398,1e-04,0.8951,0.4383716640472412
89,0.78572,1.2019835185623169,1e-04,0.8907,0.4479649751663208
