epoch,acc,loss,lr,val_acc,val_loss
0,0.4362580128205128,1.7108308804340853,0.001,0.4591,1.7469764408111572
1,0.5713452878739145,1.3375853120264574,0.001,0.4493,1.75526592502594
2,0.6303272756513348,1.1804854647451446,0.001,0.5965,1.3199377546310425
3,0.6719403345318767,1.0697183959466463,0.001,0.6017,1.2945700452804565
4,0.7035220327888052,0.9828865169213492,0.001,0.6362,1.258096092224121
5,0.7308821164553247,0.9099169146711706,0.001,0.6562,1.1329204404830933
6,0.748411868806436,0.8550477446601796,0.001,0.6427,1.3268117632865906
7,0.7672282084079753,0.8085232669611612,0.001,0.6309,1.2995055614471436
8,0.7802146992985556,0.7747172616462916,0.001,0.6797,1.1447670864105224
9,0.790527500804117,0.7382198600341132,0.001,0.737,0.9079980592727661
10,0.8006593760051464,0.7133407468732893,0.001,0.6781,1.1703612592697143
11,0.8086402379994839,0.6854722075003755,0.001,0.7339,0.9601049370765686
12,0.8168623351176554,0.6621935321380563,0.001,0.7231,1.0183921507835387
13,0.8227725957282758,0.6443159393882322,0.001,0.7151,1.03935992975235
14,0.8297885171889339,0.6274947041136998,0.001,0.754,0.8835760536193847
15,0.8377894821102575,0.6050195928247231,0.001,0.6676,1.414501417350769
16,0.8417095528725606,0.5930590306535416,0.001,0.7698,0.8287701586723327
17,0.8477605339337407,0.5785450056535556,0.001,0.7531,0.872370087146759
18,0.8522233837630137,0.5605551991557799,0.001,0.7761,0.8237471807479858
19,0.8532486329626217,0.5541951664010211,0.001,0.7657,0.8698284517288208
20,0.8568470569506609,0.5399536104323436,0.001,0.7817,0.8008344272613526
21,0.861892891643361,0.5310840949670185,0.001,0.7903,0.7571047823905945
22,0.8673407848566128,0.5172939947963566,0.001,0.747,0.9826420420646668
23,0.868426342856351,0.5147055410886355,0.001,0.7699,0.841089065694809
24,0.8707984882982339,0.5046459043589617,0.001,0.8212,0.6755921456336975
25,0.8752010292890333,0.49362181056615584,0.001,0.8021,0.7612492760658264
26,0.8772716307877804,0.49002692375623286,0.001,0.7842,0.8288674175262452
27,0.8824581859118688,0.47408897139014594,0.001,0.777,0.8758086028575898
28,0.8823375683691234,0.47259018571862227,0.001,0.7615,0.945499562740326
29,0.887323094280865,0.4615919427324929,0.001,0.7855,0.8218779693126679
30,0.8884488581154039,0.4560866031128327,0.001,0.7729,0.8507681692123413
31,0.8881473142489547,0.45298156730804306,0.001,0.8147,0.7041304727077484
32,0.8929720167639785,0.44544622303972525,0.001,0.773,0.9018606516838074
33,0.8928312962367321,0.4437217585677769,0.001,0.7951,0.7626201593399048
34,0.8959673528082311,0.4343467166125487,0.001,0.8067,0.783168994140625
35,0.8982590865038261,0.43057348583242294,0.001,0.7952,0.8172495725631714
36,0.9002492762754568,0.41990799123967104,0.001,0.8434,0.6334565487861633
37,0.901535863640915,0.4163980209374972,0.001,0.8308,0.6427943648338318
38,0.8999477324090076,0.42094995006176006,0.001,0.788,0.8270497142791748
39,0.9052549051525279,0.4114562998097132,0.001,0.801,0.8062528605461121
40,0.9068229333999341,0.4041234711889057,0.001,0.8216,0.7117336957454682
41,0.9061997427017062,0.40290546548562095,0.001,0.8148,0.728667334651947
42,0.9063605660792523,0.40273047912232013,0.001,0.8253,0.6951760243415832
43,0.9120697974008393,0.3917734207697488,0.001,0.7864,0.8008244266033172
44,0.909094564168543,0.3969833312137367,0.001,0.8264,0.7308034455299377
45,0.9118888710004488,0.3877657157656233,0.001,0.8287,0.6822047873973847
46,0.9141403988804147,0.3829705197353308,0.001,0.8095,0.8069281171798706
47,0.9148440012865873,0.38038651357129594,0.001,0.8186,0.7617756779670716
48,0.9174573818331326,0.3745934562443076,0.001,0.8398,0.6485804740905762
49,0.9149847218138338,0.38082974019944765,0.001,0.8264,0.7163192634582519
50,0.9193872627854616,0.36772990845989745,0.001,0.8128,0.7718499086380005
51,0.9201109681186204,0.367322633392215,0.001,0.8278,0.737981396484375
52,0.9182011900932776,0.3704357617784827,0.001,0.8087,0.8182055727958679
53,0.921658893515727,0.3637032460537552,0.001,0.8462,0.6292788394927978
54,0.9203723061886122,0.36425191424751097,0.001,0.8401,0.6569370969772339
55,0.9227042457381794,0.35545820193338257,0.001,0.8104,0.8143293933868408
56,0.9239506272304936,0.35546904834914184,0.001,0.8577,0.5948700348854065
57,0.9273681247797991,0.349963706390541,0.001,0.8377,0.6682584102630615
58,0.9248150530525556,0.35326174480541606,0.001,0.8159,0.8099853799819946
59,0.9266444194466403,0.34879665250715314,0.001,0.8378,0.7112318383216858
60,0.9278103892310098,0.34544433882935094,0.001,0.8619,0.5985772464752197
61,0.9271067867673222,0.34622910916901123,0.001,0.8578,0.6332827846527099
62,0.927910903846769,0.3432142687077766,0.001,0.819,0.7605241424560547
63,0.9275289482148601,0.3453371099391985,0.001,0.8296,0.7525688979148865
64,0.9295995496560923,0.3384313762533047,0.001,0.8351,0.6769684445858002
65,0.9279913155547136,0.3421400424731664,0.001,0.8327,0.742054958486557
66,0.9311675779610135,0.3362881475876826,0.001,0.8362,0.7132466717720032
67,0.9300217111611451,0.3395663885949087,0.001,0.8396,0.6824156167030334
68,0.93480620774551,0.3247411450261508,0.001,0.8443,0.6671785824775696
69,0.9298809906722418,0.33662163771283937,0.001,0.851,0.6724791356086731
70,0.9344644579867452,0.3296806757072039,0.001,0.79,0.948979836845398
71,0.932434062418657,0.32946503357934814,0.001,0.8141,0.8311751617431641
72,0.9341830170856253,0.3285106596416812,0.001,0.7996,0.8502600820541382
73,0.9354293985587678,0.326364043068372,0.001,0.8385,0.6681901854515075
74,0.9373190736571245,0.318320532518401,0.001,0.8284,0.7564087988853455
75,0.9332381794597605,0.3290535486196927,0.001,0.8309,0.7738715488433838
76,0.9363541331426167,0.3193623771733431,0.001,0.7505,1.0903274591445924
77,0.9355902219554856,0.3234755609935792,0.001,0.8608,0.6227767889499665
78,0.9386257638920539,0.31444350855072123,0.001,0.8133,0.8723307593345642
79,0.9376608233967177,0.3175638056177156,0.001,0.8457,0.6866370135307313
80,0.9342232229395977,0.3265008279348578,0.001,0.8541,0.6375224657058716
81,0.955049855239754,0.270316349545565,1e-04,0.8936,0.4845729769706726
82,0.9663074943711805,0.2428014726740787,1e-04,0.8955,0.4888366733074188
83,0.9689208748602108,0.23438559916863758,1e-04,0.8975,0.4853984187602997
84,0.9704285944225167,0.22954576203929683,1e-04,0.8972,0.4883370532035828
85,0.9710718880669026,0.22675488250801593,1e-04,0.8994,0.4770463611602783
86,0.9722579607782582,0.22402865442768788,1e-04,0.8977,0.49006006031036375
87,0.9733837246511403,0.22024012597361037,1e-04,0.8996,0.48041996803283693
88,0.9737857832483787,0.21703678494137787,1e-04,0.8985,0.4816476348400116
89,0.9751527822259233,0.21454430433591104,1e-04,0.8979,0.48974983901977537
90,0.9762785461563204,0.21023209439515683,1e-04,0.8981,0.4928034182548523
91,0.9770826632741104,0.20805454773222684,1e-04,0.9004,0.48439052596092225
92,0.9769620456355068,0.2064073788042274,1e-04,0.8953,0.49928660292625426
93,0.9778867803152139,0.20428739639101554,1e-04,0.8967,0.4983704891681671
94,0.9782285300739788,0.20336210237856117,1e-04,0.8949,0.5025616587638855
95,0.9778264715342554,0.20110117172209463,1e-04,0.8961,0.5014531260967254
96,0.978771309121777,0.1978080661811028,1e-04,0.897,0.5051614023685456
97,0.9798769701251879,0.1942835539224716,1e-04,0.8992,0.49994279646873474
98,0.9800981023220358,0.19390516251987028,1e-04,0.895,0.4980546483516693
99,0.9796558378516534,0.19376580111847772,1e-04,0.8985,0.49187877202033997
100,0.9806207783661612,0.19176381170730492,1e-04,0.8966,0.49857224192619326
101,0.9804197491346428,0.18946586447193065,1e-04,0.8939,0.5158353357315063
102,0.9808017047665517,0.18825710387753689,1e-04,0.8983,0.5036754999160766
103,0.9821888067285974,0.1852958747747436,1e-04,0.8959,0.5205434553146362
104,0.9816259246962981,0.1865017144587616,1e-04,0.898,0.5002268793582916
105,0.9833949823094242,0.18352342089988596,1e-04,0.8969,0.509288800239563
106,0.981183660379289,0.1836048263844358,1e-04,0.8985,0.5026320682048797
107,0.9816259247154697,0.18345036785408553,1e-04,0.8965,0.5226421585559845
108,0.9820681891666804,0.18155409272516912,1e-04,0.8981,0.5134993356704712
109,0.9826913798265651,0.17960669548421782,1e-04,0.9002,0.5113589919567109
110,0.9822290125058831,0.17872808626818482,1e-04,0.8986,0.5115732843399048
111,0.9840985847539402,0.1766766735109036,1e-04,0.9012,0.5092695734977722
112,0.9837970408683193,0.1742641224512988,1e-04,0.8965,0.5163208290100098
113,0.9842594081698295,0.17384059641878105,1e-04,0.8935,0.5534677158355713
114,0.9846212608172373,0.17270375631483623,1e-04,0.8999,0.5231146924972534
115,0.9848825989447441,0.17165077872869094,1e-04,0.8944,0.534300009727478
116,0.9844805403475058,0.17180915394945903,1e-04,0.9018,0.5156736576080322
117,0.9847217755288548,0.17055351793018328,1e-04,0.8964,0.5309071938991546
118,0.9862294950336458,0.16625012325086405,1e-04,0.8989,0.5204985149383545
119,0.9866315535733692,0.165101081986027,1e-04,0.9,0.5206588386535644
120,0.9859279511480249,0.16717146836453675,1e-04,0.8924,0.554033761882782
121,0.9863099067224188,0.16507476488180428,1e-05,0.8982,0.518375684261322
122,0.987315053033384,0.16266807810253328,1e-05,0.8998,0.5161168621063232
123,0.9866315535733692,0.16238380676682412,1e-05,0.9003,0.5173687027931213
124,0.9879181408813124,0.16065390569560203,1e-05,0.9005,0.5163755736351013
125,0.9884207140751382,0.15983212475858727,1e-05,0.8996,0.5162619786262512
126,0.9889232872689641,0.15881297402575148,1e-05,0.8997,0.5160900774002075
127,0.9888227726148616,0.1594966512740176,1e-05,0.9002,0.516272333240509
128,0.9890238018272083,0.15834758319763478,1e-05,0.9005,0.5123159853458404
129,0.9892248311545849,0.15800220435667975,1e-05,0.9004,0.5170723386287689
130,0.9879583467736279,0.16006314881018943,1e-05,0.9008,0.5166890301704407
131,0.9883805082211659,0.15976121728348938,1e-05,0.9006,0.5151719419956208
132,0.9892449340240562,0.15791439447862307,1e-05,0.9005,0.5178894872665405
133,0.9885413316178836,0.1581535288119247,1e-05,0.8996,0.5189688607692718
134,0.9889232872497924,0.15806050151442746,1e-05,0.9012,0.5157835251808166
135,0.9893655516243165,0.15684324282471027,1e-05,0.8998,0.5176477417469024
136,0.9891645223927981,0.1573969094497899,1e-05,0.9003,0.5168809729099274
137,0.9884408169829527,0.15837406531220735,1e-05,0.9009,0.5165451265335083
138,0.9888830813766485,0.1575347125798646,1e-05,0.8994,0.5177169027328491
139,0.9881191701703457,0.15911497703872335,1e-05,0.8993,0.5175071040153504
140,0.9896469926212945,0.15611143619656065,1e-05,0.8998,0.5191666141033172
141,0.9897274043100676,0.15656522112898827,1e-05,0.8996,0.51983140707016
142,0.9893655516243165,0.15641649434059599,1e-05,0.8998,0.5165149450302124
143,0.9903103892310098,0.1558051246103653,1e-05,0.8998,0.5172387804031372
144,0.9887825667800609,0.156932126985903,1e-05,0.8999,0.5180043814659119
145,0.9896871984560952,0.153713459090889,1e-05,0.9,0.5169519618988037
146,0.9890036989193938,0.1556889615418559,1e-05,0.9009,0.5151868003845215
147,0.989546477967192,0.1563612747495295,1e-05,0.9008,0.516471125793457
148,0.9893655516243165,0.15550277671866877,1e-05,0.9007,0.5164474018096924
149,0.9896871984944385,0.15430532826243124,1e-05,0.9012,0.5193147576332092
150,0.9883403023096786,0.15673157276544358,1e-05,0.9,0.5169678092479706
151,0.9896871984752669,0.1545671967543295,1e-05,0.9007,0.5168451068401336
152,0.9897274042717242,0.15423589162636356,1e-05,0.8992,0.5195852049827576
153,0.9896469926021229,0.15349649436874918,1e-05,0.8985,0.5204348353385926
154,0.9901495657767772,0.15422252700542782,1e-05,0.8996,0.5198602702140808
155,0.989586683840336,0.1546540762947548,1e-05,0.9007,0.5184781908988952
156,0.9895062720748764,0.15470880950118385,1e-05,0.8997,0.5193398972511292
157,0.989707301402253,0.15376291312121548,1e-05,0.9002,0.516830186510086
158,0.9898882277259569,0.1536475408111749,1e-05,0.8998,0.5195379531860351
159,0.989707301402253,0.1534350706991102,1e-05,0.8998,0.5183878062725067
160,0.9902098745960789,0.15315281137004472,1e-05,0.8995,0.5192586875438691
161,0.9899485365452587,0.15370972901726504,1e-06,0.9,0.5178734558105469
162,0.9900289482148601,0.15278575759430182,1e-06,0.8999,0.5172871886253357
163,0.9901294628881342,0.15346857938938258,1e-06,0.8998,0.5182756488800049
164,0.9897877130718544,0.1535652240839523,1e-06,0.8998,0.5174578650474548
