epoch,acc,loss,lr,val_acc,val_loss
28,0.8525799999809265,0.5528439980697631,0.001,0.8119,0.7100027443885804
29,0.858000000038147,0.5466737327575684,0.001,0.801,0.7474041299819947
30,0.859200000038147,0.5366518355655671,0.001,0.7848,0.8396928601264954
31,0.8621000000190735,0.5284744694328308,0.001,0.8332,0.6465802480697632
32,0.8597799999618531,0.532875246143341,0.001,0.8103,0.754833378982544
33,0.8643400000381469,0.520423729171753,0.001,0.8168,0.7027871341705322
34,0.86494,0.517419707069397,0.001,0.7943,0.7632615824699401
35,0.868140000038147,0.5089997917938233,0.001,0.6764,1.5106624113082885
36,0.8696600000381469,0.5053445509338379,0.001,0.7685,0.9027730515480041
37,0.8727199999809265,0.4972303349018097,0.001,0.7878,0.8280780355453491
38,0.8724600000381469,0.4935148535346985,0.001,0.7948,0.8206292081832885
39,0.8752200000190735,0.4909148472213745,0.001,0.6833,1.4911506984710694
40,0.874479999961853,0.4881495112800598,0.001,0.818,0.7471036544799805
41,0.8777800000381469,0.484631375541687,0.001,0.7945,0.7900075262069702
42,0.87834,0.4813504521656036,0.001,0.8133,0.708835807132721
43,0.8804599999809265,0.47382138172149657,0.001,0.8247,0.6654204340934753
44,0.8817199999809265,0.47059535751342774,0.001,0.7998,0.7634260688781739
45,0.88036,0.4726583383750916,0.001,0.8253,0.6820215864181518
46,0.8843800000190735,0.46376267563819884,0.001,0.8073,0.7573254434585571
47,0.8843199999618531,0.4626493915939331,0.001,0.8231,0.7003141719818116
48,0.885139999961853,0.460940141582489,0.001,0.825,0.7009529866218567
49,0.885060000038147,0.45801842669487,0.001,0.862,0.5399551223754883
50,0.8887000000190735,0.45160107471466066,0.001,0.8021,0.7564449367523194
51,0.8871199999809265,0.4535543088150024,0.001,0.8395,0.6367657764434814
52,0.890360000038147,0.4478769634056091,0.001,0.8198,0.6995194543838501
53,0.891619999961853,0.44303946076393125,0.001,0.7869,0.8949459634780884
54,0.890360000038147,0.4409586445903778,0.001,0.8086,0.7524364162445069
55,0.8902000000381469,0.4428479224205017,0.001,0.8501,0.5972221055030823
56,0.8925399999809265,0.4428842347621918,0.001,0.8482,0.618611016368866
57,0.8930199999809265,0.43668413063049316,0.001,0.838,0.6351237397193908
58,0.8939000000190734,0.4379575057029724,0.001,0.8217,0.7149580352783204
59,0.8955800000190735,0.4328654083633423,0.001,0.8348,0.6695345248222351
60,0.8969600000190735,0.42946800646781924,0.001,0.8071,0.807163129234314
61,0.8999,0.42171960508346557,0.001,0.831,0.6910135473251343
62,0.89748,0.4255363801574707,0.001,0.8532,0.5871598494529724
63,0.9000799999809265,0.4223344246673584,0.001,0.8499,0.6017887454986572
64,0.9005199999809265,0.41760808210372924,0.001,0.846,0.6094021199226379
65,0.901579999961853,0.41897532899856565,0.001,0.811,0.8037468055725098
66,0.900120000038147,0.41977169174194334,0.001,0.827,0.7128976942062378
67,0.900820000038147,0.41801912218093873,0.001,0.8002,0.8251323698043823
68,0.9007800000190734,0.41613031823158264,0.001,0.857,0.5794705974578858
69,0.90336,0.40981547629356385,0.001,0.8432,0.6316956263542175
70,0.904040000038147,0.4083166491317749,0.001,0.8549,0.611253368473053
71,0.9056799999809265,0.40580863273620604,0.001,0.8359,0.666551870250702
72,0.904559999961853,0.40584804708480837,0.001,0.8006,0.8704831644058227
73,0.9043800000190735,0.40731297050476073,0.001,0.823,0.7191022883415222
74,0.907579999961853,0.40193634861946104,0.001,0.8282,0.7270947516918183
75,0.9052400000190735,0.4054553960227966,0.001,0.8339,0.6752299897193909
76,0.9073399999809265,0.3992469210624695,0.001,0.8487,0.6489866345405578
77,0.9071600000190735,0.39783991005897523,0.001,0.8476,0.6750486446380615
78,0.9106,0.3937597292613983,0.001,0.8462,0.6593376580238343
79,0.9088200000190735,0.3965638442611694,0.001,0.8644,0.5648520419597626
80,0.9079800000381469,0.39971094796180723,0.001,0.8491,0.6147310471534729
