epoch,acc,loss,lr,val_acc,val_loss
0,0.30204,2.2283666416168213,0.001,0.3052,2.171746803855896
1,0.413,1.97106160697937,0.001,0.4416,1.686788900566101
2,0.46259999999046325,1.8814755104064942,0.001,0.4467,1.7019205501556396
3,0.48768,1.8254728408050538,0.001,0.4686,1.6959032178878783
4,0.52292,1.7633952530670165,0.001,0.634,1.1810141925811768
5,0.5463600000095368,1.7188150217437743,0.001,0.5782,1.3042017032623292
6,0.56636,1.6827895833206177,0.001,0.6423,1.214531350326538
7,0.583420000038147,1.649035271949768,0.001,0.6549,1.150939821624756
8,0.5947399999809265,1.626203236846924,0.001,0.6163,1.2048991132736206
9,0.610880000038147,1.6009093870544433,0.001,0.5651,1.3912006025314332
10,0.6197999999809265,1.578348070526123,0.001,0.7113,1.01066597366333
11,0.626800000038147,1.5636042101669312,0.001,0.6701,1.1272565284729004
12,0.6339999999809265,1.5427325165557861,0.001,0.6453,1.1252489847183227
13,0.641160000038147,1.5312864469528198,0.001,0.6917,1.0250561539649963
14,0.6444599999809265,1.5221779350662232,0.001,0.7472,0.8960519129753113
15,0.653040000038147,1.5020736133575439,0.001,0.6849,1.038797367668152
16,0.6567400000381469,1.49551699760437,0.001,0.7304,0.9192488821983338
17,0.663000000038147,1.4892375582504271,0.001,0.7674,0.8270014185905457
18,0.6630800000381469,1.4785335611343384,0.001,0.7493,0.8315300028800965
19,0.6691799999618531,1.4718000374221802,0.001,0.6915,1.0502543281555177
20,0.672979999961853,1.459606505355835,0.001,0.714,0.9472098293304443
21,0.676100000038147,1.4520887048339843,0.001,0.6908,0.9981629459381104
22,0.677999999961853,1.4469213998031616,0.001,0.7863,0.7643127404212952
23,0.680779999961853,1.4409828295898437,0.001,0.7653,0.81579917678833
24,0.6876800000190735,1.4287256981658936,0.001,0.6961,1.0293470816612245
25,0.689780000038147,1.4225347451782226,0.001,0.7014,0.9827512082099914
26,0.691759999961853,1.4140375175857545,0.001,0.7464,0.8469840909004211
27,0.6942800000190735,1.4163114277648925,0.001,0.7707,0.7828858253479004
28,0.6921800000190735,1.4130038520050048,0.001,0.7688,0.7930793068885803
