epoch,acc,loss,lr,val_acc,val_loss
0,0.3778000000190735,1.875726689414978,0.001,0.4826,1.5824740262985229
1,0.5156199999809266,1.4809899606323242,0.001,0.5355,1.498028987121582
2,0.5749400000190735,1.3297456293869019,0.001,0.5703,1.4258989233016968
3,0.6161800000190735,1.2197682369613647,0.001,0.6189,1.2323512620925903
4,0.6476200000190735,1.131232423286438,0.001,0.629,1.2797971988677979
5,0.673260000038147,1.0650418769073486,0.001,0.6201,1.3884336894989013
6,0.69728,0.9975697706604004,0.001,0.634,1.2882363662719727
7,0.71424,0.9553762496948243,0.001,0.7181,0.9428898386001587
8,0.730740000038147,0.908227846031189,0.001,0.6898,1.0861609144210815
9,0.7366800000381469,0.8824457833099365,0.001,0.7307,0.9532174637794495
10,0.7511999999809265,0.8468467111587524,0.001,0.7244,0.974656608581543
11,0.757419999961853,0.8279844542884827,0.001,0.6743,1.3278785684585572
12,0.7660000000190735,0.8035948768997192,0.001,0.7382,0.9773152247428895
13,0.772060000038147,0.7835672929191589,0.001,0.741,0.9368769166946411
14,0.7769800000190735,0.7684009254455566,0.001,0.7675,0.8490046412467956
15,0.7821599999809266,0.7506560822486877,0.001,0.7752,0.8187838533401489
16,0.7857599999809265,0.7379159182167053,0.001,0.7528,0.9083905715942383
17,0.794560000038147,0.7205567855262757,0.001,0.7861,0.7757893851280212
18,0.8008600000190735,0.7030508527374267,0.001,0.7844,0.8189354197025299
19,0.80248,0.6948951120758057,0.001,0.7853,0.8282111104011536
20,0.8080799999809265,0.6797815180587768,0.001,0.7781,0.8218384397506714
21,0.810099999961853,0.6745320296859741,0.001,0.7571,0.9227150203704834
22,0.81382,0.6593953035736084,0.001,0.7453,0.9776243629455567
23,0.817440000038147,0.65298981716156,0.001,0.7871,0.7874078848838806
24,0.820520000038147,0.643135913658142,0.001,0.78,0.8717962319374084
25,0.824019999961853,0.6338546332359314,0.001,0.7688,0.9599355478286743
26,0.8244,0.6308941169166565,0.001,0.6815,1.3001617322921752
27,0.8288000000190735,0.6195758709335327,0.001,0.8079,0.7147499095916748
28,0.8277000000190735,0.6186964513969422,0.001,0.8079,0.7127000294685364
29,0.832740000038147,0.6081571545600891,0.001,0.7516,0.9711326396942138
30,0.8380999999809265,0.5969179077339173,0.001,0.7815,0.8124386303901673
31,0.83748,0.5955744917869568,0.001,0.823,0.7024117567062378
32,0.838340000038147,0.5853722194862365,0.001,0.7688,0.8946156621932984
33,0.8408200000381469,0.5831690908622742,0.001,0.8014,0.7349277012825012
34,0.843079999961853,0.575111572933197,0.001,0.8273,0.6763884675979615
35,0.8452199999809266,0.5727608605766297,0.001,0.8343,0.6352411544799804
36,0.8455200000190735,0.5693666003227233,0.001,0.7564,1.0523707670211793
37,0.84724,0.5630009529495239,0.001,0.7949,0.823122282409668
38,0.85112,0.555518876247406,0.001,0.7981,0.821115602016449
39,0.8506999999618531,0.5529999273300171,0.001,0.8343,0.6611794575214386
40,0.8524599999618531,0.5496184978103638,0.001,0.8407,0.6410730079650879
41,0.8515799999618531,0.5478535271644592,0.001,0.8345,0.6540155211448669
42,0.85712,0.5389562719345092,0.001,0.7788,0.9025784555435181
43,0.8566000000190734,0.5416576932716369,0.001,0.8175,0.7245825488090515
44,0.858479999961853,0.5320640503692627,0.001,0.7916,0.8098066221237182
